T_W1,T_W2,T_W3,T_W4
1147.96544970998,1147.96544970998,1206.26154816344,1209.89210740513
1147.96547892217,1147.96547892217,1206.34064934374,1209.96130969882
1147.9655077302,1147.9655077302,1206.42023501411,1210.03078267766
1147.96553614021,1147.96553614021,1206.49837024229,1210.09907489439
1147.96556559784,1147.96556559784,1206.58279325722,1210.1723552224
1147.96559454573,1147.96559454573,1206.66417538119,1210.24318510269
1147.96562186243,1147.96562186243,1206.74202105168,1210.31095433712
1147.96565013365,1147.96565013365,1206.82204799542,1210.38059666236
1147.96567705025,1147.96567705025,1206.89922095664,1210.44773887877
1147.9657033973,1147.9657033973,1206.97503413624,1210.5137130182
1147.96572833996,1147.96572833996,1207.04836476223,1210.57748453196
1147.96575348092,1147.96575348092,1207.12144791038,1210.64110793475
1147.96577877955,1147.96577877955,1207.19658231486,1210.70636120884
1147.96580401477,1147.96580401477,1207.27143572992,1210.77139634563
1147.96582758725,1147.96582758724,1207.34298989934,1210.83351543347
1147.9658513883,1147.9658513883,1207.41454492113,1210.89568161556
1147.96587541073,1147.96587541073,1207.48827820822,1210.95956576173
1147.96589934108,1147.96589934108,1207.56149965429,1211.02303827968
1147.96592169023,1147.96592169023,1207.63143825735,1211.08361072371
1147.96594424843,1147.96594424843,1207.70128193995,1211.14414801498
1147.96596701645,1147.96596701645,1207.77325165809,1211.20635122154
1147.96598969985,1147.96598969985,1207.84467987487,1211.26811924729
1147.96601089614,1147.96601089614,1207.91292423836,1211.32707750921
1147.966032347,1147.96603234699,1207.98123322053,1211.38613313761
1147.9660538824,1147.9660538824,1208.05123923106,1211.44648952495
1147.9660753746,1147.9660753746,1208.12081439235,1211.50650264889
1147.96609549172,1147.96609549172,1208.18737928651,1211.56386034208
1147.96611598428,1147.96611598428,1208.25446997358,1211.62169838365
1147.96613631079,1147.96613631079,1208.32233412538,1211.68006347754
1147.96615617431,1147.96615617431,1208.38861597159,1211.73715036362
1147.96617651476,1147.96617651476,1208.45697838176,1211.79585587562
1147.96619577739,1147.96619577739,1208.52206306779,1211.85174015372
1147.96621448817,1147.96621448817,1208.58654851837,1211.90707855974
1147.96623401133,1147.96623401133,1208.65357697089,1211.96452611557
1147.96625216526,1147.96625216526,1208.7166856824,1212.01861581795
1147.96627097858,1147.96627097858,1208.78144934866,1212.07408305572
1147.96628804105,1147.96628804105,1208.84161353116,1212.12564887175
1147.96630627305,1147.96630627305,1208.90591560239,1212.18059425407
1147.96632367388,1147.96632367388,1208.96755874075,1212.23336883905
1147.9663416481,1147.9663416481,1209.03158809021,1212.28800176952
1147.96635842105,1147.96635842105,1209.09262860354,1212.3400449394
1147.96637597164,1147.96637597164,1209.15579821354,1212.39387907046
